Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
958,Role of histone modificators in progression of multiple myeloma,30,1.44E-01,2.19E-01,1.44E-01,2.19E-01,5,"N-Ras, IL-6, Dynein 1, cytoplasmic, intermediate chains, p27KIP1, CDK6",5.18E-01,6.76E-01,3,"IL-6, Dynein 1, cytoplasmic, intermediate chains, CDK6"
959,Development_Dopamine-induced expression of CNTF in adult neurogenesis,22,1.45E-01,2.20E-01,1.45E-01,2.20E-01,4,"STAT3, Adenylate cyclase type V, G-protein alpha-i family, LIFR",3.20E-01,4.77E-01,3,"Adenylate cyclase type V, G-protein alpha-i family, LIFR"
960,Role of Huntingtin in regulation of BDNF in Huntington's disease,22,1.45E-01,2.20E-01,1.45E-01,2.20E-01,4,"PI3K cat class IA, RelA (p65 NF-kB subunit), AKT(PKB), PDK (PDPK1)",3.20E-01,4.77E-01,3,"PI3K cat class IA, RelA (p65 NF-kB subunit), AKT(PKB)"
961,Regulation of lipid metabolism_Insulin signaling: generic cascades,47,1.46E-01,2.21E-01,1.46E-01,2.21E-01,7,"Tuberin, PI3K cat class IA, IRS-2, ERK1/2, SOS, AKT(PKB), PDK (PDPK1)",6.25E-01,7.64E-01,4,"PI3K cat class IA, IRS-2, SOS, AKT(PKB)"
962,Immune response_KLRK1 (NKG2D) signaling pathway,47,1.46E-01,2.21E-01,1.46E-01,2.21E-01,7,"Syk, PI3K cat class IA, Lck, ERK1/2, Fyn, AKT(PKB), IP3 receptor",4.22E-01,5.91E-01,5,"Syk, PI3K cat class IA, Fyn, AKT(PKB), IP3 receptor"
963,Metabolic syndrome X (general schema),15,1.48E-01,2.40E-01,1.60E-01,2.40E-01,3,"IL-1 beta, Adiponectin, IL-6",1.48E-01,2.69E-01,3,"IL-1 beta, Adiponectin, IL-6"
964,Memory CD8+ T cells in allergic contact dermatitis,40,1.49E-01,2.49E-01,1.67E-01,2.49E-01,6,"IL-15, IL-1 beta, IL7RA, alpha-4/beta-1 integrin, ICAM1, NF-kB",1.49E-01,2.69E-01,6,"IL-15, IL-1 beta, IL7RA, alpha-4/beta-1 integrin, ICAM1, NF-kB"
965,Role of Ghrelin in activation eating behavior in obesity,40,1.49E-01,2.49E-01,1.67E-01,2.49E-01,6,"Adenylate cyclase type II, Ghrelin, NPY, G-protein alpha-q/11, IP3 receptor, Adenylate cyclase type VII",1.49E-01,2.69E-01,6,"Adenylate cyclase type II, Ghrelin, NPY, G-protein alpha-q/11, IP3 receptor, Adenylate cyclase type VII"
966,Neurophysiological process_ACM1 and ACM2 in neuronal membrane polarization,40,1.49E-01,2.49E-01,1.67E-01,2.49E-01,6,"G-protein alpha-i1, PKC-alpha, Kir2.1, Kir3.1, Kir2.2, IP3 receptor",1.49E-01,2.69E-01,6,"G-protein alpha-i1, PKC-alpha, Kir2.1, Kir3.1, Kir2.2, IP3 receptor"
967,Muscle contraction_ACM regulation of smooth muscle contraction,56,1.49E-01,2.26E-01,1.49E-01,2.26E-01,8,"TRPC4, PKC, MRLC, CPI-17, PDK (PDPK1), MLCK, IP3 receptor, ACM3",2.40E-01,3.83E-01,7,"TRPC4, PKC, MRLC, CPI-17, MLCK, IP3 receptor, ACM3"
968,Transcription_p53 signaling pathway,39,1.53E-01,2.31E-01,1.53E-01,2.31E-01,6,"p14ARF, Bcl-2, MMP-2, Beta-catenin, NF-kB, p53",4.75E-01,6.39E-01,4,"p14ARF, Bcl-2, MMP-2, NF-kB"
969,Immune response_NF-AT signaling and leukocyte interactions,48,1.58E-01,2.38E-01,1.58E-01,2.38E-01,7,"COX-2 (PTGS2), MHC class II, Lck, cPLA2, IGHE, NF-kB, IP3 receptor",2.64E-01,4.12E-01,6,"COX-2 (PTGS2), MHC class II, cPLA2, IGHE, NF-kB, IP3 receptor"
970,Development_Schema: Embryonal cardiomyogenesis,8,1.59E-01,2.51E-01,1.68E-01,2.51E-01,2,"Jagged1, BMP2",1.59E-01,2.83E-01,2,"Jagged1, BMP2"
971,Influence of low doses of Arsenite on glucose uptake in adipocytes,31,1.59E-01,2.40E-01,1.59E-01,2.40E-01,5,"PI3K cat class IA, IRS-2, AKT(PKB), PDK (PDPK1), C/EBPalpha",3.06E-01,4.64E-01,4,"PI3K cat class IA, IRS-2, AKT(PKB), C/EBPalpha"
972,SLE genetic marker-specific pathways in antigen-presenting cells (APC),84,1.60E-01,2.40E-01,1.60E-01,2.40E-01,11,"IL-1 beta, ICAM1, STAT4, TLR4, Beclin 1, TLR7, iC3b, NF-kB, Fc gamma RII alpha, A20, IFN-beta",2.26E-01,3.64E-01,10,"IL-1 beta, ICAM1, STAT4, TLR4, TLR7, iC3b, NF-kB, Fc gamma RII alpha, A20, IFN-beta"
973,Transport_ACM3 signaling in lacrimal glands,75,1.61E-01,2.41E-01,1.61E-01,2.41E-01,10,"MaxiK alpha subunit, CD14, PKC-alpha, SP-D, ERK1/2, Mucin 5B, G-protein alpha-q/11, Mucin 7, IP3 receptor, ACM3",2.35E-01,3.77E-01,9,"MaxiK alpha subunit, CD14, PKC-alpha, SP-D, Mucin 5B, G-protein alpha-q/11, Mucin 7, IP3 receptor, ACM3"
974,Apoptosis and survival_Ceramides signaling pathway,40,1.67E-01,2.49E-01,1.67E-01,2.49E-01,6,"BAD, PI3K cat class IA, Bcl-2, ERK1/2, AKT(PKB), Caspase-8",7.14E-01,8.42E-01,3,"PI3K cat class IA, Bcl-2, AKT(PKB)"
975,Huntingtin-depended transcription deregulation in Huntington's Disease,24,1.67E-01,2.69E-01,1.82E-01,2.69E-01,4,"NGFR(TNFRSF16), Enkephalin A, NR1, C/EBPalpha",1.67E-01,2.92E-01,4,"NGFR(TNFRSF16), Enkephalin A, NR1, C/EBPalpha"
976,Breakdown of CD4+ T cell peripheral tolerance in type 1 diabetes mellitus,49,1.70E-01,2.54E-01,1.70E-01,2.54E-01,7,"HLA-DRB1, MHC class II, Lck, STAT4, PTPN22, NF-kB, PD-L1",2.80E-01,4.31E-01,6,"HLA-DRB1, MHC class II, STAT4, PTPN22, NF-kB, PD-L1"
977,Nicotine signaling in glutamatergic neurons,33,1.73E-01,2.80E-01,1.92E-01,2.80E-01,5,"NMDA receptor, Adenylate cyclase type V, PKC-alpha, G-protein alpha-i family, nAChR alpha-4",1.73E-01,3.02E-01,5,"NMDA receptor, Adenylate cyclase type V, PKC-alpha, G-protein alpha-i family, nAChR alpha-4"
978,Cytoskeleton remodeling_Thyroliberin in cytoskeleton remodeling,33,1.73E-01,2.80E-01,1.92E-01,2.80E-01,5,"Thyroliberin, PKC-alpha, Adenylate cyclase, Tau (MAPT), IP3 receptor",1.73E-01,3.02E-01,5,"Thyroliberin, PKC-alpha, Adenylate cyclase, Tau (MAPT), IP3 receptor"
979,Neurophysiological process_GABAergic neurotransmission,51,1.74E-01,2.83E-01,1.96E-01,2.83E-01,7,"GABA-A receptor, G-protein alpha-i family, ALDR, GABT, GAD1, GAT1, SLC7A7",1.74E-01,3.02E-01,7,"GABA-A receptor, G-protein alpha-i family, ALDR, GABT, GAD1, GAT1, SLC7A7"
980,Development_Transcription regulation of granulocyte development,32,1.75E-01,2.60E-01,1.75E-01,2.60E-01,5,"STAT3, PKC, c-Fes, CD13, C/EBPalpha",3.28E-01,4.85E-01,4,"PKC, c-Fes, CD13, C/EBPalpha"
981,Selective Insulin resistance in type 2 diabetes in liver,32,1.75E-01,2.60E-01,1.75E-01,2.60E-01,5,"PKC-theta, IRS-2, PPARGC1 (PGC1-alpha), AKT(PKB), PDK (PDPK1)",3.28E-01,4.85E-01,4,"PKC-theta, IRS-2, PPARGC1 (PGC1-alpha), AKT(PKB)"
982,Epithelial cell apoptosis in COPD,32,1.75E-01,2.60E-01,1.75E-01,2.60E-01,5,"BAD, Bcl-2, NF-kB, AKT(PKB), p53",5.63E-01,7.13E-01,3,"Bcl-2, NF-kB, AKT(PKB)"
983,Apoptosis and survival_Anti-apoptotic TNFs/NF-kB/Bcl-2 pathway,42,1.75E-01,2.83E-01,1.95E-01,2.83E-01,6,"NGF, TNF-R2, NGFR(TNFRSF16), RelA (p65 NF-kB subunit), Bcl-2, NF-kB",1.75E-01,3.03E-01,6,"NGF, TNF-R2, NGFR(TNFRSF16), RelA (p65 NF-kB subunit), Bcl-2, NF-kB"
984,Blood coagulation_GPIb-IX-V-dependent platelet activation,77,1.81E-01,2.68E-01,1.81E-01,2.68E-01,10,"Syk, PKC-alpha, ITGB3, cPLA2, Lyn, Fyn, ERK2 (MAPK1), Fc gamma RII alpha, Actin, IP3 receptor",2.59E-01,4.06E-01,9,"Syk, PKC-alpha, ITGB3, cPLA2, Lyn, Fyn, Fc gamma RII alpha, Actin, IP3 receptor"
985,Regulation of metabolism_Bile acids regulation of glucose and lipid metabolism via FXR,41,1.81E-01,2.68E-01,1.81E-01,2.68E-01,6,"ACACB, AKT(PKB), FASN, HNF3-alpha, HNF3, F16P",3.11E-01,4.68E-01,5,"ACACB, AKT(PKB), HNF3-alpha, HNF3, F16P"
986,Signaling Transduction_Role of MIF as an intracellular mediator,41,1.81E-01,2.68E-01,1.81E-01,2.68E-01,6,"IL-1 beta, RelA (p65 NF-kB subunit), p53, PRSS11 (HtrA1), Vimentin, p27KIP1",5.15E-01,6.76E-01,4,"IL-1 beta, RelA (p65 NF-kB subunit), PRSS11 (HtrA1), Vimentin"
987,Apoptosis and survival_NO signaling in survival,24,1.82E-01,2.69E-01,1.82E-01,2.69E-01,4,"BAD, AKT(PKB), PDK (PDPK1), PI3K cat class IA (p110-delta)",6.52E-01,7.89E-01,2,"AKT(PKB), PI3K cat class IA (p110-delta)"
988,Immune response_IL-27 signaling pathway,24,1.82E-01,2.69E-01,1.82E-01,2.69E-01,4,"STAT3, ICAM1, NF-kB, Pim-1",3.71E-01,5.33E-01,3,"ICAM1, NF-kB, Pim-1"
989,Neurophysiological process_Corticoliberin signaling via CRHR1 ,50,1.83E-01,2.70E-01,1.83E-01,2.70E-01,7,"POMC, cPKC (conventional), PKC-alpha, Adenylate cyclase, ERK2 (MAPK1), G-protein alpha-q/11, IP3 receptor",2.96E-01,4.50E-01,6,"POMC, cPKC (conventional), PKC-alpha, Adenylate cyclase, G-protein alpha-q/11, IP3 receptor"
990,Transport_The role of AVP in regulation of Aquaporin 2 and renal water reabsorption,50,1.83E-01,2.70E-01,1.83E-01,2.70E-01,7,"MRLC, ERK1/2, Myosin II, Actin cytoskeletal, MyHC, MLCK, ACTB",9.48E-01,1.00E+00,2,"MRLC, MLCK"
991,Suppression of p53 signaling in multiple myeloma,50,1.83E-01,2.70E-01,1.83E-01,2.70E-01,7,"p14ARF, p53 (mitochondrial), Bcl-2, IL-6, NOXA, Caspase-8, p53",6.74E-01,8.10E-01,4,"p14ARF, Bcl-2, IL-6, NOXA"
992,Regulation of lipid metabolism_G-alpha(q) regulation of lipid metabolism,59,1.83E-01,2.70E-01,1.83E-01,2.70E-01,8,"COX-2 (PTGS2), APOC1, PKC, ABCG1, cPLA2, ERK1/2, G-protein alpha-q/11, IP3 receptor",2.83E-01,4.34E-01,7,"COX-2 (PTGS2), APOC1, PKC, ABCG1, cPLA2, G-protein alpha-q/11, IP3 receptor"
993,Cytoskeleton remodeling_Substance P mediated membrane blebbing,16,1.84E-01,2.70E-01,1.84E-01,2.70E-01,3,"MRLC, Myosin II, MLCK",4.32E-01,6.01E-01,2,"MRLC, MLCK"
994,Putative pathways of activation of monoclonal protein secretion in multiple myeloma,25,1.85E-01,2.90E-01,2.02E-01,2.90E-01,4,"XBP1, BOB1, BLIMP1 (PRDI-BF1), ERP5",1.85E-01,3.18E-01,4,"XBP1, BOB1, BLIMP1 (PRDI-BF1), ERP5"
995,Immune response_T cell subsets: secreted signals,25,1.85E-01,2.90E-01,2.02E-01,2.90E-01,4,"CCL20, Amphiregulin, IL-6, TGF-beta",1.85E-01,3.18E-01,4,"CCL20, Amphiregulin, IL-6, TGF-beta"
996,Regulation of proinflammatory cytokine production by Th2 cells in asthma,43,1.89E-01,2.98E-01,2.11E-01,2.98E-01,6,"IL-15, IL-19, GATA-3, ST2(L), MHC class II, IL-33",1.89E-01,3.20E-01,6,"IL-15, IL-19, GATA-3, ST2(L), MHC class II, IL-33"
997,Immune response_Antimicrobial actions of IFN-gamma,43,1.89E-01,2.98E-01,2.11E-01,2.98E-01,6,"IDO1, NGAL, Staf-50, MD-2, SLC26A3 (DRA), TLR3",1.89E-01,3.20E-01,6,"IDO1, NGAL, Staf-50, MD-2, SLC26A3 (DRA), TLR3"
998,Role of platelets in the initiation of in-stent restenosis,43,1.89E-01,2.98E-01,2.11E-01,2.98E-01,6,"ICAM1, CCL2, IL-8, Tissue factor, ICAM2, Collagen III",1.89E-01,3.20E-01,6,"ICAM1, CCL2, IL-8, Tissue factor, ICAM2, Collagen III"
999,Role of platelets in allograft rejection,43,1.89E-01,2.98E-01,2.11E-01,2.98E-01,6,"IL-1 beta, ICAM1, TGF-beta, Tissue factor, Kainate receptor, Collagen III",1.89E-01,3.20E-01,6,"IL-1 beta, ICAM1, TGF-beta, Tissue factor, Kainate receptor, Collagen III"
1000,G-protein signaling_RhoA regulation pathway,34,1.89E-01,2.98E-01,2.09E-01,2.98E-01,5,"BMX, Rhophilin 1, Fyn, Ephrin-A receptors, G-protein alpha-q/11",1.89E-01,3.20E-01,5,"BMX, Rhophilin 1, Fyn, Ephrin-A receptors, G-protein alpha-q/11"
1001,Cannabinoid receptor signaling in nicotine addiction,34,1.89E-01,2.98E-01,2.09E-01,2.98E-01,5,"NMDA receptor, nAChR alpha-7, G-protein alpha-i1, G-protein alpha-i family, nAChR alpha-4",1.89E-01,3.20E-01,5,"NMDA receptor, nAChR alpha-7, G-protein alpha-i1, G-protein alpha-i family, nAChR alpha-4"
1002,Development_EGFR signaling via small GTPases,33,1.92E-01,2.80E-01,1.92E-01,2.80E-01,5,"PI3K cat class IA, EGFR, N-Ras, ERK1/2, SOS",5.84E-01,7.32E-01,3,"PI3K cat class IA, EGFR, SOS"
1003,Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins,33,1.92E-01,2.80E-01,1.92E-01,2.80E-01,5,"BAD, Bcl-2, NOXA, Caspase-8, Bcl-B",5.84E-01,7.32E-01,3,"Bcl-2, NOXA, Bcl-B"
1004,Resistance of pancreatic cancer cells to death receptor signaling,33,1.92E-01,2.80E-01,1.92E-01,2.80E-01,5,"TRUNDD(TNFRSF10D), c-IAP2, RelA (p65 NF-kB subunit), c-IAP1, Caspase-8",3.49E-01,5.08E-01,4,"TRUNDD(TNFRSF10D), c-IAP2, RelA (p65 NF-kB subunit), c-IAP1"
1005,Transcription_Negative regulation of HIF1A function,69,1.94E-01,2.83E-01,1.94E-01,2.83E-01,9,"FHL3, p14ARF, FHL1 (SLIM1), RUNX3, PTEN, MTG16 (CBFA2T3), KLF2, PSMA7, p53",4.34E-01,6.02E-01,7,"FHL3, p14ARF, FHL1 (SLIM1), RUNX3, MTG16 (CBFA2T3), KLF2, PSMA7"
1006,Development_Positive regulation of WNT/Beta-catenin signaling in the nucleus,69,1.94E-01,2.83E-01,1.94E-01,2.83E-01,9,"Tcf(Lef), RUNX, WNT, TCF7L2 (TCF4), Beta-catenin, ERK2 (MAPK1), Dsh, TCF7 (TCF1), Frizzled",6.02E-01,7.51E-01,6,"Tcf(Lef), RUNX, WNT, TCF7L2 (TCF4), TCF7 (TCF1), Frizzled"
1007,Immune response_TCR alpha/beta signaling pathway,97,1.94E-01,2.83E-01,1.94E-01,2.83E-01,12,"NMDA receptor, MHC class II, Lck, PKC-theta, TRPC3, PKC-alpha, ERK1/2, Fyn, AKT(PKB), Caspase-8, GRAP2, IP3 receptor",5.19E-01,6.77E-01,9,"NMDA receptor, MHC class II, PKC-theta, TRPC3, PKC-alpha, Fyn, AKT(PKB), GRAP2, IP3 receptor"
1008,GLP-1 in inhibition of beta cell proliferation and function in type 2 diabetes,42,1.95E-01,2.83E-01,1.95E-01,2.83E-01,6,"IRS-2, EGFR, TCF7L2 (TCF4), ERK1/2, Beta-catenin, PDK (PDPK1)",7.45E-01,8.69E-01,3,"IRS-2, EGFR, TCF7L2 (TCF4)"
1009,Development_Growth hormone signaling via PI3K/AKT and MAPK cascades,42,1.95E-01,2.83E-01,1.95E-01,2.83E-01,6,"Tuberin, IRS-2, SOS, ERK2 (MAPK1), AKT(PKB), GHR",5.34E-01,6.88E-01,4,"IRS-2, SOS, AKT(PKB), GHR"
1010,A shift from oxidative to glycolytic muscle fiber phenotype in quadriceps muscles in COPD,60,1.96E-01,2.83E-01,1.96E-01,2.83E-01,8,"Troponin C, cardiac, Fatty acid-binding protein, PPARGC1 (PGC1-alpha), MEF2, NF-kB, MKL1, ERK2 (MAPK1), Myoglobin",2.98E-01,4.51E-01,7,"Troponin C, cardiac, Fatty acid-binding protein, PPARGC1 (PGC1-alpha), MEF2, NF-kB, MKL1, Myoglobin"
1011,Neutrophil resistance to apoptosis in COPD and proresolving impact of lipid mediators,60,1.96E-01,2.83E-01,1.96E-01,2.83E-01,8,"BAD, PI3K cat class IA, SAA1, TNF-R2 soluble, c-IAP1, ERK1/2, AKT(PKB), Caspase-8",6.42E-01,7.83E-01,5,"PI3K cat class IA, SAA1, TNF-R2 soluble, c-IAP1, AKT(PKB)"
1012,Signal transduction_mTORC1 downstream signaling,60,1.96E-01,2.83E-01,1.96E-01,2.83E-01,8,"BAD, STAT3, PDK1, PDCD4, SGK1, HMGCS2, p53, p27KIP1",9.18E-01,9.83E-01,3,"PDCD4, SGK1, HMGCS2"
1013,Stimulation of gastric acid secretion in gastric cancer,60,1.96E-01,2.83E-01,1.96E-01,2.83E-01,8,"Chromogranin A, PKC-alpha, Kir2.1, Adenylate cyclase, ERK1/2, G-protein alpha-q/11, IP3 receptor, ACM3",2.98E-01,4.51E-01,7,"Chromogranin A, PKC-alpha, Kir2.1, Adenylate cyclase, G-protein alpha-q/11, IP3 receptor, ACM3"
1014,Immune response_IFN-gamma signaling via MAPK,51,1.96E-01,2.83E-01,1.96E-01,2.83E-01,7,"iNOS, IP10, IFI16, IFI6, ERK1/2, TIRAP (Mal), ERK2 (MAPK1)",4.95E-01,6.54E-01,5,"iNOS, IP10, IFI16, IFI6, TIRAP (Mal)"
1015,microRNA in Prostate Cancer,51,1.96E-01,2.83E-01,1.96E-01,2.83E-01,7,"CD44, microRNA 221, PDCD4, Bcl-2, p53, p27KIP1, CDK6",4.95E-01,6.54E-01,5,"CD44, microRNA 221, PDCD4, Bcl-2, CDK6"
1016,Immune response_IL-2 signaling via JAK/ STAT,25,2.02E-01,2.90E-01,2.02E-01,2.90E-01,4,"STAT3, Syk, STAT4, Bcl-2",3.97E-01,5.60E-01,3,"Syk, STAT4, Bcl-2"
1017,Apoptosis and survival_Role of nuclear PI3K in NGF/ TrkA signaling,25,2.02E-01,2.90E-01,2.02E-01,2.90E-01,4,"NGF, PI3K cat class IA, AKT(PKB), PDK (PDPK1)",3.97E-01,5.60E-01,3,"NGF, PI3K cat class IA, AKT(PKB)"
1018,Neurophysiological process_GABA-B receptor signaling at postsynaptic sides of synapses,26,2.04E-01,3.13E-01,2.22E-01,3.13E-01,4,"NMDA receptor, Kir3.4, G-protein alpha-i family, Kir3.1",2.04E-01,3.41E-01,4,"NMDA receptor, Kir3.4, G-protein alpha-i family, Kir3.1"
1019,CD8+ Tc1 cells in allergic contact dermatitis,26,2.04E-01,3.13E-01,2.22E-01,3.13E-01,4,"IL-1 beta, TNF-R2, MHC class II, Caspase-1",2.04E-01,3.41E-01,4,"IL-1 beta, TNF-R2, MHC class II, Caspase-1"
1020,Altered Ca2+ handling in heart failure,35,2.06E-01,3.17E-01,2.26E-01,3.17E-01,5,"NCX1, G-protein alpha-i family, Adenylate cyclase, Beta-2 adrenergic receptor, CaMK II delta",2.06E-01,3.41E-01,5,"NCX1, G-protein alpha-i family, Adenylate cyclase, Beta-2 adrenergic receptor, CaMK II delta"
1021,NF-kB pathway in multiple myeloma,35,2.06E-01,3.17E-01,2.26E-01,3.17E-01,5,"c-IAP2, c-IAP1, Bcl-2, IL-6, NF-kB",2.06E-01,3.41E-01,5,"c-IAP2, c-IAP1, Bcl-2, IL-6, NF-kB"
1022,O-glycan biosynthesis,63,2.07E-01,3.26E-01,2.34E-01,3.26E-01,8,"GALNT15, GALNTL2, GALNTL1, GALNTL3, GALNTL4, B3GT2, GALNT6, GALNT14",2.07E-01,3.42E-01,8,"GALNT15, GALNTL2, GALNTL1, GALNTL3, GALNTL4, B3GT2, GALNT6, GALNT14"
1023,Induction of mucin secretion in  airway goblet cells by purinergic receptors,61,2.08E-01,2.98E-01,2.08E-01,2.98E-01,8,"iNOS, PKC-alpha, PP2A regulatory, Actin cytoskeletal, NF-kB, G-protein alpha-q/11, MUNC13, IP3 receptor",3.12E-01,4.68E-01,7,"iNOS, PKC-alpha, PP2A regulatory, NF-kB, G-protein alpha-q/11, MUNC13, IP3 receptor"
1024,Immune response_IL-11 signaling via JAK/STAT,34,2.09E-01,2.98E-01,2.09E-01,2.98E-01,5,"STAT3, A2M, Bcl-2, CYP19, Pim-1",3.70E-01,5.33E-01,4,"A2M, Bcl-2, CYP19, Pim-1"
1025,Development_Histone acetylation in embryonic stem cells,34,2.09E-01,2.98E-01,2.09E-01,2.98E-01,5,"Oct-3/4, SOX2, SNAIL1, p53, p27KIP1",8.26E-01,9.25E-01,2,"Oct-3/4, SOX2"
1026,"Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim",34,2.09E-01,2.98E-01,2.09E-01,2.98E-01,5,"HGK(MAP4K4), Caspase-10, Bcl-2, GCKR(MAP4K5), Caspase-8",3.70E-01,5.33E-01,4,"HGK(MAP4K4), Caspase-10, Bcl-2, GCKR(MAP4K5)"
1027,Development_FGF10 in development of subcutaneous white adipose tissue in embryogenesis,17,2.09E-01,2.98E-01,2.09E-01,2.98E-01,3,"ERK1/2, SOS, C/EBPalpha",4.63E-01,6.31E-01,2,"SOS, C/EBPalpha"
1028,DNA damage_Role of SUMO in p53 regulation,17,2.09E-01,2.98E-01,2.09E-01,2.98E-01,3,"SAE2, AKT(PKB), p53",4.63E-01,6.31E-01,2,"SAE2, AKT(PKB)"
1029,Cell adhesion_Integrin inside-out signaling in T cells,52,2.10E-01,2.98E-01,2.10E-01,2.98E-01,7,"ITGB1, CCL20, Lck, ITGB2, alpha-4/beta-1 integrin, ICAM1, G-protein alpha-i family",3.29E-01,4.86E-01,6,"ITGB1, CCL20, ITGB2, alpha-4/beta-1 integrin, ICAM1, G-protein alpha-i family"
1030,Development_WNT/Beta-catenin signaling pathway. Signalosome,43,2.11E-01,2.98E-01,2.11E-01,2.98E-01,6,"Schwannomin (NF2), WNT, G-protein alpha-i family, DAAM2, Dsh, Frizzled",5.53E-01,7.04E-01,4,"WNT, G-protein alpha-i family, DAAM2, Frizzled"
1031,Impaired inhibitory action of lipoxins and Resolvin E1 on neutrophil functions in CF,43,2.11E-01,2.98E-01,2.11E-01,2.98E-01,6,"IL-1 beta, IL-8, G-protein alpha-i family, ERK1/2, NF-kB, PI3K reg class IB (p101)",3.48E-01,5.08E-01,5,"IL-1 beta, IL-8, G-protein alpha-i family, NF-kB, PI3K reg class IB (p101)"
1032,Apoptosis and survival_TNFR1 signaling pathway,43,2.11E-01,2.98E-01,2.11E-01,2.98E-01,6,"c-IAP2, Caspase-10, c-IAP1, Bcl-2, NF-kB, Caspase-8",3.48E-01,5.08E-01,5,"c-IAP2, Caspase-10, c-IAP1, Bcl-2, NF-kB"
1033,Blood coagulation_GPVI-dependent platelet activation,54,2.13E-01,3.31E-01,2.38E-01,3.31E-01,7,"Syk, PKC-alpha, ITGB3, Lyn, Fyn, GRAP2, IP3 receptor",2.13E-01,3.50E-01,7,"Syk, PKC-alpha, ITGB3, Lyn, Fyn, GRAP2, IP3 receptor"
1034,"Immune response_Antigen presentation by MHC class I, classical pathway",54,2.13E-01,3.31E-01,2.38E-01,3.31E-01,7,"MHC Class I alpha chain, TAP1 (PSF1), PSMB8(LMP7), TAP2 (PSF2), PSMB9, ERAP2, TAP",2.13E-01,3.50E-01,7,"MHC Class I alpha chain, TAP1 (PSF1), PSMB8(LMP7), TAP2 (PSF2), PSMB9, ERAP2, TAP"
1035,Regulation of lipid metabolism_Alpha-1 adrenergic receptors signaling via arachidonic acid,71,2.17E-01,3.07E-01,2.17E-01,3.07E-01,9,"COX-2 (PTGS2), PTGIS, PKC-alpha, cPLA2, ERK1/2, SOS1, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, IP3 receptor",3.11E-01,4.68E-01,8,"COX-2 (PTGS2), PTGIS, PKC-alpha, cPLA2, SOS1, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, IP3 receptor"
1036,Stem cells_Excitotoxicity of Glutamate in glioblastoma,45,2.18E-01,3.35E-01,2.42E-01,3.35E-01,6,"NMDA receptor, SLC1A2/EAAT2, G-protein alpha-i family, SLC7A11, CDO1, GLAST1/EAAT1",2.18E-01,3.57E-01,6,"NMDA receptor, SLC1A2/EAAT2, G-protein alpha-i family, SLC7A11, CDO1, GLAST1/EAAT1"
1037,"Role of inflammasome in macrophages, adipocytes and pancreatic beta cells in type 2 diabetes",18,2.19E-01,3.26E-01,2.34E-01,3.26E-01,3,"IL-1 beta, NF-kB, Caspase-1",2.19E-01,3.57E-01,3,"IL-1 beta, NF-kB, Caspase-1"
1038,Stem cells_CD30 signaling in transformed embryonic stem cells,18,2.19E-01,3.26E-01,2.34E-01,3.26E-01,3,"Oct-3/4, SOX2, CD30(TNFRSF8)",2.19E-01,3.57E-01,3,"Oct-3/4, SOX2, CD30(TNFRSF8)"
1039,Heme metabolism,103,2.19E-01,3.51E-01,2.55E-01,3.51E-01,12,"UGT2B28, Ceruloplasmin, Apotransferrin, UGT1A1, UGT1A10, Holotransferrin, Neuroglobin, Myoglobin, UGT2B17, UGT1A4, CYP2B6, UGT1A6",2.19E-01,3.57E-01,12,"UGT2B28, Ceruloplasmin, Apotransferrin, UGT1A1, UGT1A10, Holotransferrin, Neuroglobin, Myoglobin, UGT2B17, UGT1A4, CYP2B6, UGT1A6"
1040,Nicotine / nAChR alpha-3/nAChR beta-2 signaling in NSCLC,26,2.22E-01,3.13E-01,2.22E-01,3.13E-01,4,"PKC-alpha, AKT(PKB), PDK (PDPK1), PI3K cat class IA (p110-delta)",4.22E-01,5.91E-01,3,"PKC-alpha, AKT(PKB), PI3K cat class IA (p110-delta)"
1041,"Development_Lipoxin inhibitory action on PDGF, EGF and LTD4 signaling",36,2.22E-01,3.37E-01,2.44E-01,3.37E-01,5,"EGFR, G-protein alpha-i family, Adenylate cyclase, G-protein alpha-q/11, PDGF-R-beta",2.22E-01,3.60E-01,5,"EGFR, G-protein alpha-i family, Adenylate cyclase, G-protein alpha-q/11, PDGF-R-beta"
1042,Development_Role of HDAC and calcium/calmodulin-dependent kinase (CaMK) in control of skeletal myogenesis,53,2.24E-01,3.15E-01,2.24E-01,3.15E-01,7,"HDAC9, Tuberin, PI3K cat class IA, MEF2C, MEF2, AKT(PKB), PDK (PDPK1)",5.30E-01,6.85E-01,5,"HDAC9, PI3K cat class IA, MEF2C, MEF2, AKT(PKB)"
